Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
182,Mississippi Valley State,31,1,30,0.032,-26.17,-3.91,1,17,1,8,0,22,55.5,77.7,40.2,19.8,52,0.381,4.61,15.8,0.292,11.3,17.2,0.658,9.61,29.4,8.74,6.61,2.29,16,17.7
183,Missouri,32,8,24,0.25,3.27,7.3,0,18,6,11,2,10,72.2,76.2,40.2,25.2,57.4,0.439,7.28,22.8,0.319,14.4,18.2,0.792,9.16,31,12.2,7.66,4.81,11.6,20.1
184,Missouri State,33,17,16,0.515,0.98,1.01,8,12,9,5,4,10,71.2,71.3,40.6,25.7,58.5,0.439,6.76,21.5,0.314,13.1,18.4,0.711,10.2,39.1,12.1,4.3,4.52,12,15.3
185,Monmouth,33,18,15,0.545,-3.17,-2.98,10,8,13,1,2,13,72.4,72.6,40,26.1,60.5,0.43,7.64,22,0.347,12.7,17.7,0.715,11.2,35.4,13.1,7.15,3.45,10.5,16.9
186,Montana,36,24,12,0.667,-1.41,-4.11,12,6,13,3,8,7,76.9,71.8,40.3,28,57.6,0.485,7.69,21.5,0.358,13.3,16.7,0.792,8.31,34.1,14.9,4.78,2.97,10.3,16.7
187,Montana State NCAA,35,17,18,0.486,-5.34,-4.46,9,9,10,7,4,10,75.3,74.5,40.6,26.9,57.5,0.468,9.11,24.7,0.37,12.4,17,0.728,6.77,30.5,13.2,8.26,2.4,11.7,18.5
188,Morehead State NCAA,35,26,9,0.743,0.51,-5.52,14,4,14,1,9,7,75.3,63.4,40,27,57.7,0.467,9.4,26.1,0.361,11.9,16.9,0.706,11.6,39.2,15,5.89,4.57,11.8,15.8
189,Morgan State,31,11,20,0.355,-16.07,-5.9,7,7,8,5,3,12,72.7,77.5,40.3,27.1,60.1,0.451,4.77,16.3,0.293,13.7,18.1,0.758,10.9,35.5,12.5,6.19,3.58,14.5,19.2
190,Mount St. Mary's,32,13,19,0.406,-6.54,-7.45,9,11,8,5,5,13,72.7,71.8,40.5,27.4,57.9,0.473,6.78,19.2,0.353,11.2,15.4,0.725,9.75,35.2,13.2,6.91,3.91,14.5,15.5
191,Murray State,32,12,20,0.375,0.36,1.59,9,11,8,8,4,9,69.8,69.9,40.2,25.7,57.5,0.446,6.53,20.3,0.321,11.9,17.1,0.697,9.34,32.8,11.5,6,2.75,9.5,15.3
192,Navy,31,13,18,0.419,-11.7,-9.54,8,10,10,5,3,13,66.5,66.7,40.3,23.1,58.4,0.396,5.84,19.5,0.3,14.4,20.4,0.708,12.5,35.6,12.1,6.68,2.03,10.2,18
193,NC State NCAA,41,26,15,0.634,12.81,8.93,9,11,12,5,4,7,75.6,71.8,40.5,27.2,60.6,0.45,6.95,20.2,0.345,14.2,19.4,0.733,10.1,35.3,13.1,7.24,3.61,9.56,16.2
194,Nebraska NCAA,34,23,11,0.676,14.36,7.53,12,8,18,1,3,8,77.7,70.9,40.4,26.8,59.3,0.452,9.38,26.3,0.357,14.7,19.4,0.76,9.59,37.6,15.3,6.29,2.62,11.1,15.9
195,Nevada NCAA,34,26,8,0.765,12.85,4.58,13,5,15,2,8,3,75.9,66.9,40.1,25.9,54.7,0.474,6.68,18.4,0.363,17.4,24.2,0.72,8.88,34.3,15,6.29,3.56,10.1,17.6
196,Nevada-Las Vegas,34,21,13,0.618,8.38,6.25,12,6,13,6,8,4,73.6,68.9,40.6,26.6,57.6,0.462,6.79,20.1,0.337,13.5,18.6,0.724,10.3,34.2,13.2,6.12,4.53,11.1,15.9
197,New Hampshire,31,16,15,0.516,-6.15,-3.61,7,9,9,5,7,10,74.1,74.1,40.2,25.8,62.4,0.414,8.87,27.4,0.324,13.6,18.2,0.745,9.19,37.4,11.8,7.29,2.06,12,15.2
198,New Mexico NCAA,36,26,10,0.722,15.04,5.38,10,8,13,3,5,6,81,70.7,40,29.6,65.1,0.455,6.47,19.8,0.328,15.3,21.6,0.707,12.8,39.7,14.6,8.67,4.94,10,17.6
199,New Mexico State,32,13,19,0.406,-8.62,0.74,7,9,12,3,1,13,67.7,72.4,40.5,24.1,56.9,0.423,6.44,19.6,0.329,13.1,19.3,0.677,8.94,33.7,11.2,6.09,3.06,11.9,19.9
200,New Orleans,33,10,23,0.303,-16.8,-5.9,4,14,7,6,2,15,73.5,79.5,40.2,25.6,61.3,0.418,5.42,17.8,0.304,16.8,23.4,0.72,11.4,34.5,11.8,7.7,3.58,12.3,19.1
201,Niagara,32,16,16,0.5,-8.4,-7.21,11,9,5,9,10,6,72.5,72.1,40.5,25.7,54.7,0.47,6.22,17.2,0.362,14.9,19.8,0.752,7.34,30.5,12.8,5.63,2.19,11.8,15
202,Nicholls State,34,20,14,0.588,-7.14,-5.37,13,5,10,2,8,10,73.9,73.9,41.3,25,56.1,0.445,8.35,22.9,0.365,15.6,21.5,0.725,9.56,35.3,11.4,6.74,4.12,13.2,18.7
203,NJIT,28,7,21,0.25,-14.65,-4.46,3,13,5,8,2,13,67.9,75,40,23.7,60,0.394,7.18,23.8,0.302,13.4,18.9,0.709,11.5,34.7,10.5,7.18,3.29,11.1,19.1
204,Norfolk State,35,24,11,0.686,-5.76,-7.76,11,3,15,0,6,8,74.5,67.5,40.1,25.9,56.5,0.459,6.37,18.7,0.34,16.3,22.5,0.722,11,34.4,12.5,8.8,3.09,12.1,18.6
205,North Alabama,32,15,17,0.469,-7.17,-5,8,8,10,4,5,13,76.5,76.1,40.8,26.8,60.3,0.444,7.69,21.2,0.362,15.2,19.8,0.768,9.91,35.4,11.2,5.34,3.16,10.1,18.4
206,North Carolina A&T,32,7,25,0.219,-16.31,-3.94,5,13,4,7,2,14,65.6,77.9,40,22.7,58.5,0.388,6,20.9,0.287,14.2,19.9,0.713,9.38,31.9,10.2,5.63,3.25,9.38,15.3
207,North Carolina Central,31,18,13,0.581,-7.88,-8.84,9,5,11,2,6,9,76.6,69,40.3,26.5,58.5,0.454,7.52,22,0.342,16,23,0.695,11.3,35.4,12.8,7.65,2.68,12,17.8
208,North Carolina NCAA,37,29,8,0.784,21.36,9.9,17,3,14,1,8,2,81.9,70.5,40.1,28.3,62.8,0.45,8.14,22.7,0.359,17.3,22.8,0.759,12.2,41.1,14.5,5.78,4.08,10.1,16.5
209,North Dakota,32,18,14,0.563,-6.24,-6.1,10,6,9,5,7,8,75.3,71.9,40.2,26.8,60.4,0.444,8.25,25.3,0.326,13.4,18.8,0.713,11.4,36.6,11.6,6.31,3,10.1,15.2
210,North Dakota State,32,15,17,0.469,-7.57,-3.15,8,8,10,4,5,11,74.6,73.9,41.1,27.3,57.3,0.476,7.88,20.8,0.378,12.2,17,0.718,8.47,34.3,11.6,4.34,1.34,11.1,14.6
211,North Florida,32,16,16,0.5,-6.95,-4.84,9,7,11,5,5,11,78,75.8,40.5,26.5,59.9,0.443,12,33.2,0.36,13,16.9,0.766,8.88,33.6,12.4,5.59,3.63,11.3,16.2
212,North Texas,34,19,15,0.559,8.41,4.28,10,8,11,4,6,6,69.2,63.8,40.3,24.3,56.1,0.433,8.35,22.1,0.377,12.3,16.6,0.737,11.5,34.7,11.1,7.09,2.97,11.1,16.8
213,Northeastern,32,12,20,0.375,-6.09,-3.15,7,11,7,5,4,13,69.4,72.3,40,25.3,55.6,0.455,6.38,20.1,0.318,12.4,16.6,0.748,10.2,33.2,13.6,6.25,3.34,12.4,15.2
214,Northern Arizona,33,14,19,0.424,-12.17,-4.17,7,11,7,5,6,12,68.6,76.6,40.3,25,57.1,0.438,6.27,20.1,0.312,12.4,17.8,0.696,8.3,31.3,13.5,5.67,3.09,12.6,18.3
215,Northern Colorado,33,19,14,0.576,-4.44,-5.25,12,6,11,3,7,8,79.3,77,41.2,29.4,60.5,0.485,7.7,22.1,0.348,12.9,17.7,0.729,8.18,35.1,14.6,6.27,2.39,11.2,16.6
216,Northern Illinois,31,11,20,0.355,-9.16,-1.37,5,13,5,9,5,11,73.2,77.4,40.5,25.8,58.1,0.444,7.32,22.5,0.326,14.3,21.2,0.672,10.3,35.8,10.2,5.29,4.94,12.7,17.4
217,Northern Iowa,33,19,14,0.576,3.83,2.86,12,8,11,3,6,8,73.2,71.1,40.3,25.5,56,0.456,7.21,20.9,0.345,14.9,21.1,0.707,8.03,33.8,12.5,6.24,2.58,10.3,16.6
218,Northern Kentucky,33,18,15,0.545,-3.66,-3.73,12,8,12,3,6,11,74.8,73.2,40.6,26.7,58.6,0.456,6.33,19.9,0.319,15.1,20.9,0.719,10.5,34.6,13.8,8.61,2.61,12.3,16.5
219,Northwestern NCAA,34,22,12,0.647,12.77,8.5,12,8,15,2,4,7,73.3,69.1,40.7,26.2,57.6,0.455,8.18,21,0.39,12.7,16.9,0.752,8.53,31.4,15.6,7.03,3.12,8.82,17.6
220,Northwestern State,32,9,23,0.281,-14.42,-6.32,7,11,6,7,3,13,70.5,75.9,40.6,25.3,58.5,0.432,6.38,20.1,0.317,13.7,20.7,0.659,11.4,34.6,11.5,6.97,3.28,13.3,18.7
221,Notre Dame,33,13,20,0.394,4.94,8.06,7,13,9,8,2,10,64,67.2,40.5,22.5,55.3,0.407,7.61,23.9,0.318,11.5,15.4,0.744,9.82,35.9,10.2,5.73,2.42,12.5,15.1
222,Oakland NCAA,36,24,12,0.667,2.02,-1.24,15,5,10,3,9,7,76.4,73.2,40.7,26.8,60.2,0.446,8.83,24.9,0.355,13.9,18.5,0.751,10.6,35.9,14.5,6.58,2.78,11,15.1
223,Ohio,33,20,13,0.606,0.48,-4.58,13,5,12,3,5,7,77.3,70,40.5,27.3,60.2,0.453,8.91,25.1,0.356,13.8,18.9,0.73,10.1,34.9,14.1,7.12,3.58,9.73,17
224,Ohio State,36,22,14,0.611,13.64,8.37,9,11,15,5,2,8,75.5,70.2,40.4,26.6,59.1,0.45,7.06,20.4,0.345,15.3,19.9,0.767,10.9,37.1,14.1,5.58,4.61,10.6,17
225,Oklahoma,32,20,12,0.625,14.66,8.07,8,10,14,4,3,6,75.4,68.8,40.3,26.1,56.2,0.465,7.47,21.6,0.345,15.7,21.2,0.743,9.69,35.2,13.3,5.91,3.25,12.5,16.1
226,Oklahoma State,32,12,20,0.375,6.25,7.97,4,14,10,8,1,9,71,72.7,40.5,24.8,56.2,0.441,8.13,24.3,0.334,13.3,19.1,0.697,9.19,33.7,13.4,6.25,2.88,12.9,16
227,Old Dominion,32,7,25,0.219,-8.35,-1.58,3,15,5,10,1,12,70.9,77,40.3,26.3,62.5,0.42,6.91,21.7,0.318,11.4,17.2,0.662,10,35.4,10.3,7.84,3.84,10.9,18.2
228,Omaha,33,15,18,0.455,-7.38,-5.07,7,9,11,3,2,13,74,72.8,40.3,25.6,56.8,0.451,6.24,19.1,0.326,16.5,22.2,0.743,8.55,33.7,10.2,6.06,2.21,9.88,16.7
229,Oral Roberts,31,12,19,0.387,-7.43,-2.6,5,11,9,5,2,13,73.4,75.3,40.3,26.2,59.5,0.44,9.19,25.5,0.361,11.8,15.9,0.742,7.58,33,11,5.65,3.42,9.68,17.2
230,Oregon NCAA,36,24,12,0.667,12.22,8.91,12,8,13,3,6,5,75.6,72.3,40.4,27.3,59.6,0.458,7.31,21.6,0.338,13.7,19.1,0.719,9.92,34.4,13.8,7.17,3.64,10.2,16.4
231,Oregon State,32,13,19,0.406,3.28,8.38,5,15,12,6,1,9,68.9,72.7,40.9,24.1,54.5,0.442,6.13,18.7,0.328,14.5,19.7,0.737,8.59,32.5,11.1,6,3.72,12.3,18.5
232,Pacific,32,6,26,0.188,-17.42,-0.15,0,16,5,12,1,13,64.7,79.8,40.3,22.7,55.1,0.411,6.34,20.1,0.316,13.1,20.3,0.643,6.53,27.3,13.2,6.09,2,11.8,17.2
233,Penn State,33,16,17,0.485,9.22,7.52,9,11,13,4,2,8,75.1,73.4,40.3,25.9,59.1,0.438,7.73,23.2,0.334,15.6,20.9,0.747,9.58,32.3,12.6,8.33,3.39,11.1,18.3
234,Pennsylvania,29,11,18,0.379,-3.33,0.26,3,11,9,6,2,10,74.4,74.4,40.7,26.9,59.3,0.454,9.48,25.9,0.367,11.1,16.1,0.688,10.4,35.9,14.8,5.97,2.31,11.1,14.9
235,Pepperdine,33,13,20,0.394,-2.14,0.7,5,11,9,8,3,8,72.8,74,40,26.3,58.3,0.451,6.82,18.9,0.361,13.4,19,0.704,10.1,33.8,13.3,5.12,2.73,11.2,16.3
236,Pittsburgh,33,22,11,0.667,14.89,6.92,12,8,13,5,7,4,75.6,67.6,40,26.5,60.6,0.437,9.61,26.9,0.357,13.1,18.5,0.708,11.4,37.1,13.7,6.3,4.45,9,15.5
237,Portland,33,12,21,0.364,-8.2,1.54,5,11,9,6,2,11,71.5,79.5,40.2,25,57.3,0.437,8.85,25.5,0.347,12.6,17.6,0.716,8.36,33.7,13.5,4.12,2.18,11.9,14.8
238,Portland State,32,17,15,0.531,-7.15,-4.94,8,10,11,2,5,11,71.9,71.8,40.3,25.3,60.9,0.415,7.41,22.8,0.325,14,20.4,0.686,11.7,36.9,11.8,7.06,3.34,11.3,18.1
239,Prairie View,31,10,21,0.323,-15.41,-6.92,5,13,5,6,4,15,70.2,76.4,40,24.8,59.1,0.421,4.81,15.8,0.305,15.7,21.8,0.721,9.77,30.7,12,9.13,2.81,12.8,20.2
240,Presbyterian,33,14,19,0.424,-8.13,-5.57,6,10,8,7,5,9,74.8,73.1,40.3,27.2,57.6,0.472,6.36,19.1,0.334,14.1,21.2,0.663,9.45,33.3,12.9,7.03,3.21,11.4,18.5
241,Princeton,29,24,5,0.828,6.55,-1.6,12,2,12,1,11,3,77.1,66.6,40,26.8,58.4,0.458,10.5,29.4,0.356,13,16.1,0.806,8.41,33.3,14.6,5.97,1.9,8.17,13.5
242,Providence,35,21,14,0.6,12.56,8.93,10,10,14,5,4,7,72.4,68.8,40.4,25.5,57.5,0.443,8.29,25.5,0.325,13.2,18.3,0.722,9.17,35.9,13.6,6.43,4.6,12.1,15.8
243,Purdue Fort Wayne,36,23,13,0.639,-0.74,-6.09,11,9,11,5,10,8,80.2,71.6,40.3,29,62,0.468,9.44,26.2,0.361,12.8,18.2,0.703,8.39,32.6,13.6,9.22,3.08,10.4,17
244,Purdue NCAA,39,34,5,0.872,24.93,11.6,17,3,16,0,7,3,82.3,69,40.4,28.4,58.3,0.488,8.15,20.2,0.404,17.3,24.1,0.72,12.2,40.4,18.5,5.44,3.64,11.3,13.7
245,Queens (NC),33,14,19,0.424,-8.75,-3.49,7,9,11,3,2,16,80.1,81.6,40,28.1,63.5,0.443,8.91,26.2,0.34,14.9,21,0.71,11.3,37,13.2,6.97,2.76,11.4,17.4
