Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,10,10,8,6,5,10,72.1,73.5,40.4,25.3,58.4,0.433,5.29,15.6,0.34,16.2,22.3,0.727,9.68,33.5,12.7,7.71,2.12,12.8,19.6
2,Air Force,31,9,22,0.29,-4.77,1.43,2,16,4,12,5,8,66.2,72.4,40.3,23.5,51.7,0.453,8.81,24.4,0.361,10.5,15.3,0.682,7.26,28.1,14.5,6.52,3.94,12,17.5
3,Akron NCAA,35,24,11,0.686,2.77,-2.08,13,5,13,1,7,6,73.6,66.2,40.1,26.1,57.7,0.453,8,24.7,0.324,13.3,18.3,0.727,10.4,36.5,13,5.63,2.86,11.3,16.7
4,Alabama A&M,35,12,23,0.343,-14.35,-7.52,9,9,7,5,4,15,69,75.8,40.1,23,54.8,0.42,4.23,14.7,0.287,18.7,25.9,0.722,11.3,35.7,10.5,7.46,3.89,16.1,20.8
5,Alabama NCAA,37,25,12,0.676,20.69,11.8,13,5,14,2,5,5,90.1,81.2,40.3,30.7,64.5,0.476,11.2,29.9,0.373,17.6,22.8,0.772,12.8,39.6,15.9,6.92,4.38,11.8,19.8
6,Alabama State,32,13,19,0.406,-11.73,-6.87,8,10,7,5,3,13,68.6,69.4,40.7,24.1,65.2,0.37,6.97,24.8,0.281,13.4,18.5,0.723,14.2,39.5,10.8,8.66,3.84,11.3,19
7,Albany (NY),32,13,19,0.406,-6.6,-5.22,5,11,8,5,5,13,78.7,78.8,40.2,28.7,64.3,0.446,7.81,23.7,0.33,13.5,18.6,0.726,11.4,36,12.8,8.31,3.16,13.3,19.4
8,Alcorn State,32,14,18,0.438,-11.58,-5.61,13,5,7,3,7,14,71.9,77.4,40.2,25.6,57.8,0.442,5.19,15.4,0.337,15.6,21.8,0.712,11.3,33.9,11.6,6.88,1.75,11.6,17.7
9,American,32,16,16,0.5,-8.96,-8.79,10,8,8,7,8,9,68.8,68,40.3,24.4,54.4,0.449,8.72,24.8,0.351,11.1,15.4,0.722,8.97,32.6,14,5.81,1.69,10.8,16.5
10,Appalachian State,34,27,7,0.794,6.04,-2.34,16,2,15,0,8,5,78.4,67.1,40.9,29.3,61.8,0.475,6.59,19.8,0.332,13.1,19.3,0.68,11,41.6,14.6,6.15,6.76,10.7,13.2
